plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_u,psfmag_g,psfmag_r,psfmag_i,psfmag_z,psfmagErr_u,psfmagErr_g,psfmagErr_r,psfmagErr_i,psfmagErr_z,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
1149,53003,300,1293741506716264448,1237646795990630979,89.73389,6577.932,-0.6145952,3.660449,6617.78,-0.6145952,20.18355,19.15979,18.92757,18.86588,18.84402,0.05363284,0.07348648,0.08874705,0.1204717,0.07869151,122.429186417103,-0.866808488881531,20.19332,19.1708,18.93241,18.86949,18.83585,1293741506716264448,STAR,F5,0.0002739488,1149,53003,300,0.373,6590,4.251,-0.35,0.0002749699,2.333254E-05
1149,53003,301,1293741781594171392,1237646796527436287,98.2488,6314.918,-0.8311111,3.63543,6327.918,-0.9005478,20.63831,19.64687,19.33795,19.27099,19.17069,0.05525769,0.01798621,0.0168494,0.02165816,0.06661222,122.267836172699,-0.324335960727756,20.64568,19.64585,19.33919,19.26811,19.17882,1293741781594171392,STAR,F5,0.0002853766,1149,53003,301,0,6000,4,-1.5,0.0003033725,2.353251E-05
1149,53003,316,1293745904762775552,1237646796527371006,244.2686,6209.847,-1.661598,2.493298,6248.929,-1.658708,20.59809,19.68209,19.36526,19.27658,19.21855,0.054655,0.01542022,0.01704437,0.02086591,0.06700074,122.258448488127,-0.270045862004606,20.62302,19.68848,19.3729,19.27517,19.22824,1293745904762775552,STAR,F5,0.0008260423,1149,53003,316,0,6000,0,-2.5,0.000790442,3.086331E-05
1149,53003,366,1293759648658122752,1237646798138245694,24.09982,6417.732,-1.58586,2.604983,6380.532,-1.944926,20.32739,19.39487,19.07641,18.99966,19.09883,0.4101813,0.6449698,0.6527194,0.6768254,0.241471,122.830469495431,1.00207627069982,20.33547,19.39412,19.09066,19.00352,19.08063,1293759648658122752,STAR,A0,3.991031E-06,1149,53003,366,0,6500,4,-1.5,5.603817E-05,2.527569E-05
1149,53003,372,1293761297925564416,1237646798138245833,66.01138,6566.876,-0.6474469,3.588042,6439.324,-0.6949282,20.53572,19.3861,19.11416,19.01675,19.00658,0.04938116,0.01472021,0.01368966,0.01925197,0.06032773,122.745255741422,0.994950408089888,20.53726,19.37796,19.09943,18.99852,19.00122,1293761297925564416,STAR,F5,0.0001832367,1149,53003,372,0,6500,4,-1,0.0001958401,1.919658E-05
1149,53003,403,1293769819140679680,1237646798138376903,108.4547,6528.166,-0.7118809,3.672616,6582.83,-0.7118809,20.86992,19.72133,19.47549,19.36259,19.44433,0.06567574,0.02839138,0.05521017,0.07020248,0.1148436,123.129194134515,0.855262200777538,20.86321,19.72819,19.48499,19.37097,19.47533,1293769819140679680,STAR,F5,0.0003289015,1149,53003,403,0.382,6275,4.03,-0.57,0.0003374157,2.390994E-05
1149,53003,444,1293781089134864384,1237646798138442582,101.7417,6566.744,-0.72991,3.722109,6508.942,-0.7606299,20.15576,19.18675,18.93114,18.83977,18.83145,0.03914857,0.01315316,0.01524226,0.01921585,0.05054987,123.305112219749,0.957012844198849,20.14668,19.1907,18.93629,18.83867,18.85648,1293781089134864384,STAR,F5,0.0003005136,1149,53003,444,0.382,6275,4.03,-0.57,0.0003150237,1.539799E-05
914,52721,324,1029161620946839552,1237648702977081388,164.7668,8333.097,-2.017542,3.113303,8321.244,-2.017542,17.7808,16.50878,16.61491,16.73519,16.77589,0.0222294,0.01988703,0.01559379,0.0137133,0.0229072,207.617328495793,-1.22368026903872,17.77882,16.47083,16.61481,16.7291,16.77598,337793094395127808,STAR,A0,0.0004614912,300,51943,84,0,8500,4,-2,0.0005180564,1.058359E-05
914,52721,405,1029183886057302016,1237648702977409066,-1.653066,6217.934,-0.2708344,3.793207,6187.107,-0.3020616,14.68024,13.61844,13.17527,13.09737,13.02855,0.02781967,0.0006849499,0.0004958033,0.002513397,0.02261698,208.364565197036,-1.15772179062428,15.03449,13.82205,13.31759,13.26236,13.3758,1029183886057302016,STAR,F5,-7.13311E-06,914,52721,405,0.467,6052,4.079,-0.44,-2.986421E-05,3.217072E-06
914,52721,449,1029195980685207552,1237648702977474642,17.39009,5897.659,-0.1828701,4.017912,5813.985,-0.2018538,15.05584,13.76649,13.28236,13.13391,13.09719,0.01240155,0.001010637,0.0009965359,0.001056856,0.02284699,208.535442587277,-1.17555819541388,15.58622,14.27024,13.43468,13.27397,13.68097,1029195980685207552,STAR,G2,3.452288E-05,914,52721,449,0.6,5630,4.5,-0.45,3.365694E-05,2.541835E-06
