plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_g,psfmag_r,psfmag_i,psfmagErr_g,psfmagErr_r,psfmagErr_i,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
2946,54506,3,3316902025790253056,1237651273489056316,88.01261,5177.419,-0.1242035,4.423919,5193.162,-0.05321484,17.62317,16.89499,16.64015,0.0142001,0.01707211,0.01093541,111.998235738695,36.2986683890323,19.4637,17.62155,16.90799,16.63811,16.46902,3316902025790253056,STAR,K1,0.0002631455,2946,54506,3,0.819,5169,4.43,-0.17,0.0002692283,4.425534E-06
2946,54506,2,3316901750912346112,1237651273489121509,-56.69164,5823.75,-0.5889034,4.219321,5957.043,-0.4495934,18.17136,17.72549,17.2951,0.2238545,0.2021865,0.1497701,112.081479708781,36.3933306327258,19.37962,18.22562,17.76852,17.30088,17.35508,3316901750912346112,STAR,F9,-0.0002153084,2946,54506,2,0.868,5575,4.266,-0.15,-0.0002134531,3.823737E-06
2946,54506,8,3316903400179787776,1237651273489121748,31.4467,6489.672,-0.9467884,3.496902,6448.396,-0.8704461,18.88402,18.60268,18.48478,0.01571884,0.01286044,0.01579883,112.040228978194,36.4448604524545,20.10006,18.88259,18.6045,18.49215,18.42622,3316903400179787776,STAR,F5,8.012306E-05,2946,54506,8,0.378,6061,3.58,-1.07,8.054473E-05,1.587474E-05
2946,54506,11,3316904224813508608,1237651273489252750,-6.727619,5381.676,-0.5931274,4.228652,5367.828,-0.5933623,18.5571,17.97466,17.73916,0.01467331,0.01382555,0.01159779,112.311998218885,36.6026589542523,20.04343,18.55216,17.97416,17.76059,17.62134,3316904224813508608,STAR,F9,-6.625576E-05,2946,54506,11,0.717,5426,4.5,-0.04,-4.67911E-05,6.808211E-06
2946,54506,16,3316905599203043328,1237651273489252731,148.4458,5666.289,-2.385976,3.32768,5696.499,-2.286341,19.11225,18.65739,18.44488,0.01537368,0.01510026,0.01462579,112.186074186142,36.6475080001106,20.13198,19.10968,18.65382,18.44736,18.30917,3316905599203043328,STAR,F5,0.0004456887,2946,54506,16,0,6000,4,-2,0.0004708116,2.397022E-05
2946,54506,17,3316905874080950272,1237651273489317941,-128.1329,6302.786,-1.388005,4.048872,6276.787,-1.427471,18.23607,17.90268,17.68093,0.4765196,0.6525243,0.6817182,112.203110148081,36.7554522557289,19.1031,18.22791,17.8933,17.69161,17.715,3316905874080950272,STAR,F5,-0.0004123423,2946,54506,17,0,6000,4,-2,-0.0004517556,1.141261E-05
2946,54506,19,3316906423836764160,1237651273489187254,-25.6929,4364.904,-0.2824563,3.924916,4403.466,-0.2824563,17.76322,16.59033,16.12537,0.01307753,0.0156538,0.01877124,112.187572832827,36.5427818906267,20.3734,17.76906,16.57908,16.12266,15.88279,3316906423836764160,STAR,K7,-0.0001070501,2946,54506,19,1.069,4382,4.64,-0.28,-0.0001100525,2.880058E-06
2946,54506,6,3316902850423973888,1237651273489318310,8.257044,5324.054,-0.5506727,4.443057,5303.662,-0.4576932,19.23175,18.62754,18.37283,0.01447775,0.01171587,0.01262404,112.291305328381,36.8012912855717,20.68199,19.22352,18.61625,18.37113,18.27452,3316902850423973888,STAR,F9,-1.297729E-05,2946,54506,6,0.692,5285,4.62,-0.71,3.192355E-06,9.41648E-06
2946,54506,9,3316903675057694720,1237651273489318169,23.4205,6529.514,-0.8871247,3.45936,6518.653,-0.8091778,19.11024,18.82833,18.65179,0.01390168,0.01221776,0.01558217,112.18813952774,36.7415478759306,20.10534,19.10314,18.8233,18.696,18.68747,3316903675057694720,STAR,A0,3.059352E-05,2946,54506,9,0,7000,4,-0.5,5.377219E-05,1.971708E-05
2946,54506,10,3316903949935601664,1237651273489317973,71.6766,5082.117,-0.7538261,4.532829,5089.948,-0.647406,16.9742,16.24284,15.93434,0.01098299,0.008759147,0.008499499,112.313971371981,36.7498715298999,18.62147,16.97725,16.24915,15.93381,15.78607,3316903949935601664,STAR,K1,0.0002142613,2946,54506,10,0.811,5059,4.45,-0.16,0.0002147372,2.463159E-06
